bats,height,person,source,thorws,throws,weight
R,70.0,Barnhart_Clyde_Lee,data/mcconnell/McConnell,,R,155.0
R,72.0,Barrera_Nelson_Enrique,data/mcconnell/McConnell,,R,185.0
R,75.0,Balexander,data/minorstar/Volume1,,R,215.0
L,68.0,Barchdeacon,data/minorstar/Volume1,,L,153.0
R,73.5,Abadie_Bernard_E,data/nemec/Nemec,,R,187.0
L,70.0,Abdella_James_Alfred,data/nemec/Nemec,,L,180.0
R,70.5,Abel_Edward_Ronald,data/nemec/Nemec,,R,175.0
R,73.5,Abernethy_Joe_Ray,data/nemec/Nemec,,R,185.0
R,69.0,Accardo_Thomas_Joseph,data/nemec/Nemec,,R,175.0
R,71.0,Ackermann_Richard_John,data/nemec/Nemec,,R,165.0
R,,Adair_John_Leon,data/nemec/Nemec,,R,
R,77.0,Adair_Richard_Charles,data/nemec/Nemec,,R,215.0
R,70.0,Adam_Richard_D,data/nemec/Nemec,,R,155.0
R,71.0,Adams_Elton_Eugene,data/nemec/Nemec,,R,170.0
L,69.0,Adams_Herbert_Loren,data/nemec/Nemec,,L,165.0
S,72.0,Adams_James_Byron,data/nemec/Nemec,,R,180.0
L,72.5,Adams_Raymond_Nathaniel,data/nemec/Nemec,,R,172.0
R,73.0,Adams_Ricky_Lee,data/nemec/Nemec,,R,180.0
L,,Adams_Russell_L,data/nemec/Nemec,,L,
L,71.0,Aden_Dwight_B,data/nemec/Nemec,,L,165.0
R,76.0,Adenhart_Nicholas_James,data/nemec/Nemec,,R,190.0
S,74.0,Adkins_Donald_W,data/nemec/Nemec,,R,200.0
R,77.0,Adkins_Teddy_Wayne,data/nemec/Nemec,,R,205.0
L,71.0,Adkins_Theo,data/nemec/Nemec,,L,175.0
R,73.5,Adkison_Larry_Wayne,data/nemec/Nemec,,R,185.0
R,66.0,Afanesko_Max,data/nemec/Nemec,,R,
R,72.0,Agee_Joseph_Ryan,data/nemec/Nemec,,R,185.0
R,,Ahlness_Kenneth_Lee,data/nemec/Nemec,,R,
R,74.0,Akerfelds_Darrel_Wayne,data/nemec/Nemec,,R,210.0
L,72.0,Albertson_Roy_Lawrence,data/nemec/Nemec,,L,168.0
R,,Albright_James_Gray,data/nemec/Nemec,,R,
R,76.0,Alex_Harvey_Wayne,data/nemec/Nemec,,R,220.0
R,74.5,Alexander_Marvin_Edward,data/nemec/Nemec,,R,190.0
R,,Alford_Donald_Ray,data/nemec/Nemec,,R,
R,74.0,Allen_Steven_Charles,data/nemec/Nemec,,R,180.0
L,69.0,Alou_Mateo_Rojas,data/nemec/Nemec,,L,158.0
R,69.5,Altenburg_Willis_R,data/nemec/Nemec,,R,167.0
R,71.0,Alvarez_Rogelio,data/nemec/Nemec,,R,175.0
R,71.5,Alworth_Frederick_Joseph,data/nemec/Nemec,,R,180.0
R,71.0,Ambrose_Philip_D,data/nemec/Nemec,,R,160.0
R,73.0,Amoriello_Clarence,data/nemec/Nemec,,R,190.0
R,74.0,Amhrein_Michael_Kevin,data/nemec/Nemec,,R,220.0
R,72.0,Anderman_George_Nelson,data/nemec/Nemec,,L,175.0
R,76.0,Anderson_Clarence_Eldon,data/nemec/Nemec,,L,175.0
R,70.0,Anderson_Donald_E,data/nemec/Nemec,,R,165.0
R,69.0,Anderson_George_Lee,data/nemec/Nemec,,R,164.0
R,72.0,Anderson_Herbert_Joseph,data/nemec/Nemec,,L,180.0
R,,Anderson_James_Robert_1948,data/nemec/Nemec,,R,
R,73.0,Andres_Ernest_Henry,data/nemec/Nemec,,R,200.0
R,72.0,Andrews_Hubert_Carl,data/nemec/Nemec,,R,170.0
,,Angelo_Louis_Joseph,data/nemec/Nemec,,,
R,73.0,Angrove_Donald_Dean,data/nemec/Nemec,,R,185.0
,,Annenberg_Robert_Bernard,data/nemec/Nemec,,,
R,75.0,Anthony_Omer_Lee,data/nemec/Nemec,,R,200.0
R,,Antonali_Raymond_A,data/nemec/Nemec,,R,
L,,Appell_John_Roland,data/nemec/Nemec,,L,
R,,Arceneaux_John_Stephen,data/nemec/Nemec,,R,
L,69.0,Archer_Waite_Henderson,data/nemec/Nemec,,R,165.0
R,,Archiopoli_Andrew_J,data/nemec/Nemec,,R,
L,69.0,Arline_James_Arthur,data/nemec/Nemec,,L,165.0
R,68.0,Armstrong_Charles_E,data/nemec/Nemec,,R,185.0
R,,Arnott_Ralph,data/nemec/Nemec,,R,
,,Arns_Melvin_Joseph,data/nemec/Nemec,,,
R,68.0,Arredondo_Luis,data/nemec/Nemec,,R,170.0
R,71.0,Arrigo_Jack_Charles,data/nemec/Nemec,,R,190.0
R,,Arrigoni_Roland,data/nemec/Nemec,,R,
R,72.0,Arrildt_William_Dearella,data/nemec/Nemec,,R,170.0
R,71.0,Arrington_David_Andrew,data/nemec/Nemec,,R,180.0
L,72.0,Ashman_Chester_Robert,data/nemec/Nemec,,R,200.0
R,,Ashoff_Edward_A,data/nemec/Nemec,,R,
R,70.0,Astroth_Joseph_Henry,data/nemec/Nemec,,R,187.0
R,74.0,Atchley_James_Richard,data/nemec/Nemec,,R,170.0
