caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Asheville,1912,,Appalachian League,,data/FNGVGPY,,,data/morris/1915SouthAtlantic/IndianapolisStar/1,,player,,Harry,,Hartsell,,,
,Cleveland,1915,,American Association,,data/KWRYYMZ,,,data/blau/blau-20170122,,player,,Harry,,Hartsell,,,
,Fort Wayne,1915,,Central League,,data/JWVJKXJ,,,data/morris/1915SouthAtlantic/ColumbusLedger/1,,player,,Harry,,Hartsell,,,
,Charleston,1915,,South Atlantic League,,data/PJZNQPJ,,2B,data/morris/1915SouthAtlantic/ColumbiaRecord/71,,player,,Harry,,Hartsell,,,
,Charleston,1915,,South Atlantic League,,data/QJRZQFH,,2B,data/morris/1915SouthAtlantic/ColumbiaState/298,,player,,Harry,,Hartsell,,,
,Charleston,1915,,South Atlantic League,,data/KWRYYMZ,,,data/blau/blau-20170122,,player,,Harry,,Hartsell,,,
,Norfolk,1915,,Virginia League,,data/KWRYYMZ,,,data/blau/blau-20170122,,player,,Harry,,Hartsell,,,
,Petersburg,1915,,Virginia League,,data/KWRYYMZ,,,data/blau/blau-20170122,,player,,Harry,,Hartsell,,,
,Norfolk,1916,,Virginia League,,data/KWRYYMZ,,,data/blau/blau-20170122,,player,,Harry,,Hartsell,,,
,St. Joseph/Hutchinson,1917,,Western League,,data/WQJRRCH,,,data/blau/blau-20161225,,player,,Harry,,Hartzell,,,
,Kewanee,1912,,Central Association,,data/QZWMCDQ,,,data/blau/blau-20170122,,player,,R.,,Harvey,,,
,Hagerstown,1925,,Blue Ridge League,,data/KSWCLVT,,,data/blau/blau-20170416,,player,,Woodford,,Harwood,,,
,Coffeyville,1911,,Western Association,,data/HNGBYGP,,,data/blau/blau-20171001,,player,,,,Hasler,,,
,Hastings,1912,,Nebraska State League,,data/HNGBYGP,,,data/blau/blau-20171001,,player,,,,Hasler,,,
