date,height,meta,person,place,source,throws,weight
1915,,,_subject,"US, IN, Indianapolis",data/morris/1915RioGrandeValley/ArizonaRepublic/3,,
1915,,,_subject,"US, NY, New York",data/morris/1915RioGrandeValley/ArizonaRepublic/5,,
1915,,,_subject,"US, AZ, Phoenix",data/morris/1915RioGrandeValley/ArizonaRepublic/7,,
1915,,,_subject,"US, NM, Carlsbad",data/morris/1915RioGrandeValley/CarlsbadCurren/1,,
1915,,,_subject,"CA, ,",data/morris/1915RioGrandeValley/ElPasoHerald/1,,
1915,,,_subject,"US, NM, Silver City",data/morris/1915RioGrandeValley/ElPasoHerald/5,,
1915,,,_subject,"US, CA, San Francisco",data/morris/1915RioGrandeValley/ElPasoHerald/26,,
1915,,,_subject,"US, KY, Leamington",data/morris/1915RioGrandeValley/ElPasoHerald/27,,
1915,,,_subject,"US, CA, Healdsburg",data/morris/1915RioGrandeValley/ElPasoHerald/28,,
1915,,,_subject,"US, OH, Toledo",data/morris/1915RioGrandeValley/ElPasoHerald/29,,
1915,,,_subject,"US, OR, Eugene",data/morris/1915RioGrandeValley/ElPasoHerald/30,,
1915,,,_subject,"US, CA, San Mateo",data/morris/1915RioGrandeValley/ElPasoHerald/31,,
1915,,,_subject,"US, CA, Los Angeles",data/morris/1915RioGrandeValley/ElPasoHerald/44,,
1915,,,_subject,"US, ID,",data/morris/1915RioGrandeValley/ElPasoHerald/47,,
1915,,,_subject,"US, CA,",data/morris/1915RioGrandeValley/ElPasoHerald/59,,
1915,,,_subject,"US, TX, Fort Worth",data/morris/1915RioGrandeValley/ElPasoHerald/63,,
1915,,,_subject,"US, CA,",data/morris/1915RioGrandeValley/ElPasoHerald/69,,
1915,,,_subject,"US, CA,",data/morris/1915RioGrandeValley/ElPasoHerald/70,,
1915,,,_subject,"US, TX,  Dallas",data/morris/1915RioGrandeValley/ElPasoHerald/75,,
1915,,,_subject,"US, TX,  Fort Worth",data/morris/1915RioGrandeValley/ElPasoHerald/76,,
1915,,,_subject,"US, TX,  Fort Worth",data/morris/1915RioGrandeValley/ElPasoHerald/77,,
1915,,,_subject,"US, TX,  Fort Worth",data/morris/1915RioGrandeValley/ElPasoHerald/78,,
1915,,,_subject,"US, TX,  El Paso",data/morris/1915RioGrandeValley/ElPasoHerald/79,,
1915,,,_subject,"US, TX,  El Paso",data/morris/1915RioGrandeValley/ElPasoHerald/86,,
1915,,,_subject,"US, CA, Oakland",data/morris/1915RioGrandeValley/ElPasoHerald/91,,
1915,,,_subject,"US, ID, Pocatello",data/morris/1915RioGrandeValley/ElPasoHerald/92,,
1915,,,_subject,"US, OR, Portland",data/morris/1915RioGrandeValley/ElPasoHerald/105,,
1915,,,_subject,"US, TX, El Paso",data/morris/1915RioGrandeValley/ElPasoHerald/106,,
1915,,,_subject,"US, CA, Sacramento",data/morris/1915RioGrandeValley/ElPasoHerald/127,,
1915,,,_subject,"US, NM, Las Cruces",data/morris/1915RioGrandeValley/ElPasoHerald/137,,
1917,,,_subject,"US, OR, Pendleton",data/morris/1915RioGrandeValley/MarshalltownEveningTimesRepublican/1,,
1911,,,_subject,"US, GA, Macon",data/morris/1915RioGrandeValley/NewOrleansTimesDemocra/1,,
1915,,,_subject,"US, GA, Columbus",data/morris/1915SouthAtlantic/AugustaChronicle/4,,
1915,,,_subject,"US, MO, Maplewood",data/morris/1915SouthAtlantic/AugustaChronicle/5,,
1915,,,_subject,"US, NM,",data/morris/1915SouthAtlantic/AugustaChronicle/7,,
1915,,,_subject,"US, AL, Gate City",data/morris/1915SouthAtlantic/CharlestonPos/2,,
1915,,,_subject,"US, AL, Gate City",data/morris/1915SouthAtlantic/CharlestonPos/4,,
1915,,,_subject,"US, MS, Holly Springs",data/morris/1915SouthAtlantic/CharlestonPos/11,,
1915,,,_subject,"US, SC, Camden",data/morris/1915SouthAtlantic/ColumbiaRecord/30,,
1915,,,_subject,"US, SC, Columbia",data/morris/1915SouthAtlantic/ColumbiaRecord/36,,
1915,,,_subject,"US, GA, Moultrie",data/morris/1915SouthAtlantic/ColumbiaRecord/52,,
1915,,,_subject,"US, SC, Columbia",data/morris/1915SouthAtlantic/ColumbiaRecord/58,,
1925,,,_subject,"US, FL, Jacksonville",data/morris/1915SouthAtlantic/ColumbiaRecord/60,,
1915,,,_subject,"US, NC, Lumberton",data/morris/1915SouthAtlantic/ColumbiaRecord/68,,
1915,,,_subject,"US, NC, Asheville",data/morris/1915SouthAtlantic/ColumbiaRecord/71,,
1915,,,_subject,"US, GA, Atlanta",data/morris/1915SouthAtlantic/ColumbiaRecord/74,,
1915,,,_subject,"US, GA, Macon",data/morris/1915SouthAtlantic/ColumbiaRecord/75,,
1915,,,_subject,"US, SC, Columbia",data/morris/1915SouthAtlantic/ColumbiaRecord/87,,
1911,,,_subject,"US, SC, Trenton",data/morris/1915SouthAtlantic/ColumbiaRecord/96,,
1915,,,_subject,"US, FL, Greenville",data/morris/1915SouthAtlantic/ColumbiaState/1,,
1915,,,_subject,"US, IN, South Bend",data/morris/1915SouthAtlantic/ColumbiaState/12,,
1915,,,_subject,"US, IN, Terre Haute",data/morris/1915SouthAtlantic/ColumbiaState/13,,
1915,,,_subject,"US, MI, Detroit",data/morris/1915SouthAtlantic/ColumbiaState/14,,
1915,,,_subject,"US, MI, Detroit",data/morris/1915SouthAtlantic/ColumbiaState/15,,
1915,,,_subject,"US, SC,",data/morris/1915SouthAtlantic/ColumbiaState/19,,
